27 22
#############
#...........#    ########
#...d...s...######......#
#.......................#
#...d...b...######......#
#.....................s.#
#...........######......#
#.....g.....#    #......#
#...........#    #......#
#...........#    #......#
#####..###### #####...###
    #..#      #...##..##
    #..#      #.k.d....#
    #..#      #...##...##
  ###..####   #####.....#
  #..@....#      #......#
  #.......#      #......#
  #.......#      #......#
  #.......#      #......#
  #....a..#      #......#
  #.......#      #......#
  #########      ########
