76 32
 ###########
##.........##     ######                                ##########
#..@........#######....################               ###........###
#......................................#             ##............##
#...........######.....................###############..............##
#...........#    #..........................................###.......#
#...........#    #......########............................###.......#
##.........##    #......###...........#########..#####..............##
 ####...####     ##...#####..........##      ##..#  ##.............##
    #...#         #..#####.........##       ##..#    ###.........###
   ##...##        #................##       #..####     ###########
  ##.....##       ##...............##       #......####
 ##.......##       #...............##       #..........##
##.........#############...#########        #..######....##
#..........................##################..##    ##...################
#...............................................##   ##..................##
##.........#########...################.##########   ###.................##
 ##.......##       #...#      #................#       #.................##
  ##.....##        #...#      #................#       #.................##
   ##...##         #...#      #................#       #.................##
    #...#          #...#      #................#       #.................##
    #...#          #...#      #................#       #.................##
    #...#          #...#      #................#       ##############.#####
 ####.#########################################################.......#
##.........##     ##...#                                #######.#######
#...........#######....################               ###........###
#......................................#             ##............##
#...........######.....................###############..............###
#...........#    #....................................................#
#...........#    #......########......................................#
##.........##    #......###...........################................#
#######################################################################
